cluster	gene	score	adj_p_value	logfoldchange
0	LDHB	31.5593318939209	1.831301744033121e-214	4.2873616218566895
0	RPS27	29.302520751953125	6.604516000605167e-185	15.373248100280762
0	CD3D	28.699329376220703	1.7780252152712486e-177	3.6589736938476562
0	RPS25	28.612573623657227	1.6069465768040234e-176	8.257534980773926
0	RPS12	27.731260299682617	5.026893545972959e-166	16.369077682495117
0	RPS27A	26.83159637451172	1.724458471669247e-155	11.586820602416992
0	RPL31	26.522624969482422	5.6076380775660096e-152	7.002063274383545
0	LTB	25.788423538208008	1.0989502268354263e-143	6.275293827056885
0	RPL30	25.788223266601562	1.0989502268354263e-143	7.599270343780518
0	RPS3	25.759246826171875	2.1766446799589633e-143	14.833722114562988
1	S100A8	32.566673278808594	1.6676835829084298e-228	26.395971298217773
1	S100A9	32.40736770629883	1.4820837087862453e-226	46.074588775634766
1	LYZ	31.542783737182617	1.0294720724695765e-214	60.429931640625
1	TYROBP	28.541301727294922	9.8786426443873e-176	14.264457702636719
1	FCN1	28.488914489746094	3.673409984684004e-175	8.795283317565918
1	LGALS2	28.45789909362793	7.623128057031712e-175	8.176338195800781
1	FTL	28.35963249206543	1.091523231230113e-173	79.8302001953125
1	CST3	28.136178970336914	5.390359099335471e-171	14.910054206848145
1	FTH1	27.352092742919922	1.3984885551110276e-161	49.41407775878906
1	LGALS1	26.595916748046875	9.435115991729374e-153	10.034879684448242
2	CD79A	27.776094436645508	1.1568742292717864e-165	10.511322975158691
2	CD74	27.341064453125	9.457276845949225e-161	30.652502059936523
2	CD79B	25.759174346923828	1.1630130643529432e-142	7.0004658699035645
2	HLA-DRA	25.35794448852539	2.5181100526140824e-138	19.464645385742188
2	MS4A1	24.866666793823242	4.683565299014056e-133	7.132851600646973
2	HLA-DQA1	24.23175048828125	2.3540542867341483e-126	5.167714595794678
2	HLA-DPB1	23.618370056152344	4.889789499410033e-120	7.320328712463379
2	HLA-DQB1	23.325998306274414	4.140843109346485e-117	5.212339401245117
2	HLA-DRB1	21.566268920898438	5.109334424694118e-100	5.059390068054199
2	HLA-DPA1	21.398107528686523	1.7347475954459868e-98	4.878406047821045
3	CCL5	25.486610412597656	3.805263152655237e-139	12.532099723815918
3	NKG7	23.9776668548584	3.261211152184767e-123	10.642755508422852
3	GZMA	19.903820037841797	1.7237257889415574e-84	3.8829541206359863
3	CST7	19.346097946166992	7.538278754468758e-80	3.9896624088287354
3	CTSW	18.34111976623535	1.0661297367800454e-71	3.7879555225372314
3	GZMK	16.942241668701172	5.0192565729291334e-61	6.216115951538086
3	IL32	16.14849281311035	2.2798804283053282e-55	3.732288360595703
3	LYAR	13.639348983764648	2.9128051915812658e-39	2.947037935256958
3	GZMM	12.654648780822754	1.0329219519078446e-33	2.527775764465332
3	PTPRCAP	12.394515037536621	2.5584281888999315e-32	2.2181625366210938
4	LST1	22.73759651184082	2.6108276797197785e-110	22.742334365844727
4	AIF1	22.311782836914062	1.5554553408463265e-106	20.1197509765625
4	FCER1G	22.303688049316406	1.5554553408463265e-106	19.092302322387695
4	FTH1	22.218660354614258	7.773684079186981e-106	130.64430236816406
4	COTL1	22.07783317565918	1.4159948479290732e-104	21.12902069091797
4	FTL	22.038984298706055	2.784887822371947e-104	171.94847106933594
4	IFITM3	21.41102409362793	2.0663320491592446e-98	10.49951457977295
4	SAT1	21.26296043395996	4.2878973713040294e-97	18.68387222290039
